uuid,barcode
5bee33e8-6c0e-4b47-b5b4-a82bf5784d81,TCGA-AC-A2FE-01A-11R-A19W-07
a295e04a-6601-4a79-af56-14427ed2100c,TCGA-BH-A0EE-01A-11D-A036-01
31e80f46-0900-4f13-b6e4-f2c57bf0d38a,TCGA-E9-A5FK-10A-01D-A27O-01
0f1cf3a6-6e68-440a-9744-85e44d88b61f,TCGA-E2-A1L8-01A-11R-A13Q-07
4062c4e9-6946-483f-baa3-1bafa0162e0f,TCGA-EW-A1IZ-10A-01D-A13N-01
2522f302-3269-4ca3-aad4-e3bc70965c0d,TCGA-AR-A0TX-01A-11D-A087-01
a4a36d56-2fc8-47e7-9d32-01b06c305523,TCGA-A1-A0SE-10A-03D-A087-01
e4744b03-e390-43f2-a14b-86bddceaf9ae,TCGA-OL-A66L-01A-12R-A31O-07
4bf6ebc1-575d-49e4-9f66-068b537373c0,TCGA-BH-A203-01A-12R-A169-07
6e56d8a8-5266-4ada-89f5-5b1421597b98,TCGA-AR-A1AR-01A-31D-A134-01
8f9bd5f9-5ff1-4add-96e0-fcbd58fe2d96,TCGA-A7-A4SC-10A-01D-A25N-01
2aed1285-ab96-4c84-9a94-f8ecc05c96bd,TCGA-OL-A5D6-10A-01D-A89D-36
b833606e-0d65-49e9-a50c-2893f538abc1,TCGA-D8-A1JH-10A-01D-A897-36
fe6b90c3-1beb-40ee-980f-2b46824d6917,TCGA-BH-A0AW-10A-01D-A059-01
c0473c78-d1d6-424d-98a5-1122e727866e,TCGA-A2-A25F-01A-11D-A166-01
ee75072f-6a97-4d1d-bcd6-f6406fc69009,TCGA-B6-A0IG-10A-01D-A037-01
46add7ea-6849-4ab0-80bd-8498a41bced5,TCGA-A2-A4S3-10A-01D-A25N-01
b3eb0ef4-66e8-48df-9acc-fd252dc2ac61,TCGA-E2-A573-01A-11R-A29R-07
f1addb71-084f-44f0-85da-301bf11deb38,TCGA-HN-A2OB-10B-01D-A89B-36
af657568-2872-483b-9d01-ecf6db438649,TCGA-XX-A899-01A-11D-A89E-36
94415df8-3c0b-4c18-a6a8-79d9784a558a,TCGA-BH-A1ET-01A-11D-A134-01
7d088374-a4dc-427f-a258-34968cb8fa1e,TCGA-AO-A0J3-10A-01D-A037-01
fbdb3ca1-c7c8-437e-a315-25e3bc623236,TCGA-AO-A1KP-01A-11R-A13Q-07
cb811cb1-0f46-4256-9076-315bcd906c29,TCGA-BH-A0BR-01A-21D-A111-01
bc0c1bfd-700a-40c4-9e59-027f2b67470a,TCGA-AC-A3TN-10A-01D-A229-01
42635199-6fec-43da-b89f-4ced4b6bc3f6,TCGA-A2-A3XZ-01A-42D-A89C-36
a8f05085-8b35-4b4b-a11f-87ecf1240669,TCGA-E2-A150-10A-01D-A12A-01
3dac3852-c0c3-4a06-b419-64190219ed3f,TCGA-BH-A0BC-10A-01D-A890-36
b53e8f9e-93aa-4682-8396-d3f192e28868,TCGA-AR-A1AU-10A-01D-A896-36
e09a628e-1249-446b-8c2f-6d8dafd83911,TCGA-AR-A1AO-01A-11D-A895-36
131d96e3-0799-4956-a752-dc244a05c493,TCGA-GM-A4E0-01A-12R-A266-07
6f4ad25d-9364-41fa-8419-88a051136961,TCGA-E9-A249-01A-11D-A166-01
d3c551e9-30f7-4216-a44f-739c4bb56837,TCGA-C8-A132-10A-01D-A113-01
c0807411-c152-4561-be5f-4fbae769a46d,TCGA-A8-A0A6-10A-01D-A059-01
073ad1fd-14bc-4ece-8457-31e8ad6003bc,TCGA-A2-A0CP-01A-11D-A890-36
5e34b81a-4e39-4d70-ba61-5870c74ce84f,TCGA-S3-A6ZF-01A-32D-A89E-36
7860a938-e43a-4c3a-83b4-6578cea95df8,TCGA-E2-A150-01A-11R-A12D-07
b4d6811f-cb5c-4ad9-8f13-5d58f0b6afd4,TCGA-A8-A0A6-01A-12R-A056-07
1bf3aef6-d926-43d4-b1b5-8cbf0cfd2587,TCGA-C8-A1HM-10A-01D-A896-36
a18dbfce-4070-4bab-9468-dbbd0a4ee21d,TCGA-B6-A0I2-10B-01D-A892-36
1d7789a1-1ff1-4865-a9c9-dfb40e57aff5,TCGA-A2-A0CT-01A-31R-A056-07
f1c5b670-f41e-48ec-9033-140223fa43f8,TCGA-C8-A12N-10A-01D-A113-01
d923e06d-c747-419d-bd40-b05eb3e13edb,TCGA-E2-A15P-01A-11R-A115-07
b156fe43-acb3-42d6-90f1-c42cd71366ad,TCGA-AO-A0JL-10A-01D-A059-01
02037ba3-50d9-42a1-a38a-5b649a88f41d,TCGA-AR-A24P-10A-01D-A166-01
0d8a35dc-92c5-4138-a3ae-8bf8186421d5,TCGA-EW-A2FR-10A-01D-A21P-01
f3c1ba92-edda-4e9c-807b-3e0895384121,TCGA-D8-A27V-10A-01D-A89A-36
59ce4079-0da6-4339-8861-ad376b150f75,TCGA-A8-A09I-01A-22R-A034-07
588a95c5-286a-417f-aa76-b4d8b5c055ef,TCGA-D8-A27W-01A-11R-A16F-07
70c9af7f-8a58-434f-8f45-098ef0450319,TCGA-BH-A1ES-01A-11R-A137-07
d2659fd9-ac9a-4ab4-9d7c-50d9a16fc9b5,TCGA-BH-A1ES-06A-12R-A24H-07
61f32a8d-4649-4ea8-8374-00ab281464bf,TCGA-AR-A5QP-01A-11R-A28M-07
